Query Terms	Weighting	P	R	F	AP
QueryTerm-1	BM25	0.400	0.400	0.700	0.800
QueryTerm-2	BM25	0.500	0.500	0.400	0.665
QueryTerm-3	BM25	0.900	0.400	0.800	0.866
QueryTerm-4	BM25	0.400	0.800	0.400	0.890
QueryTerm-5	BM25	0.400	0.600	0.400	0.658
QueryTerm-6	BM25	0.400	0.400	0.600	0.880
QueryTerm-7	BM25	0.700	0.400	0.500	0.820
QueryTerm-8	BM25	0.500	0.500	0.400	0.398
QueryTerm-9	BM25	0.300	0.400	0.400	0.355
QueryTerm-10	BM25	0.400	0.400	0.400	0.885
Mean Average Precision for 10 queries = 0.756
